구분,돈,시도,제목,제공유형,장소,기간,문의처
음악/콘서트,유료,서울특별시,어벤져스 히어로즈 VS 빌런즈 영화음악 콘서트,오프라인,예술의전당 콘서트홀,2022-11-26~2022-11-26,스톰프뮤직 02-2658-3546
전시,무료,인천광역시,송암미술관 2022년 체험특별전 ' 문자 + 더하기 그림',오프라인,송암미술관,2022-06-28~2022-11-27,032-440-6777
전시,무료,충청북도,[집밖] MMCA 청주프로젝트 2022 : 도시공명,오프라인,국립현대미술관 청주관,2022-08-24~2022-11-27,043-261-1400
전시,무료,광주광역시,[집밖] 2022 ACCxGB 지역-아시아 전시 <쓰고도 달콤한>,오프라인,국립아시아문화전당 문화창조원,2022-08-25~2022-11-27,1899-5566
뮤지컬/오페라,유료,인천광역시,피터팬! 아주 특별한 이야기 [인천],오프라인,인천어린이과학관,2022-09-17~2022-11-27,극단 자유마당 02-741-0720 / 010-6227-6718
전시,유료,경기도,[아트센터 화이트블럭] 새로운 사물의 발견 Neue Deutsche Dinge,오프라인,아트센터 화이트블럭,2022-09-30~2022-11-27,031-992-4400
뮤지컬/오페라,유료,서울특별시,세종 이도의 꿈,오프라인,경복궁아트홀,2022-10-03~2022-11-27,경복궁아트홀 02-735-0506
연극,유료,서울특별시,가면산장 살인사건 [서울],오프라인,이화여자대학교 삼성홀,2022-10-04~2022-11-27,비컨컴퍼니 1668-4338
연극,유료,서울특별시,프랑켄슈타인,오프라인,안똔체홉극장,2022-10-14~2022-11-27,애플씨어터 02-742-7753
연극,유료,대구광역시,시골쥐와 서울쥐 [대구],오프라인,대백프라자 5층 레오문화홀,2022-10-15~2022-11-27,대백레오문화홀 053-420-8050
뮤지컬/오페라,유료,서울특별시,드래곤 하이,오프라인,국립중앙박물관 극장 용,2022-10-29~2022-11-27,브러쉬씨어터 1600-8534
무용/발레,유료,서울특별시,제12회 Duo Dance Festival,오프라인,성균소극장,2022-11-02~2022-11-27,DDFcommittee 02-3675-3336
연극,유료,서울특별시,극동 시베리아 순례길,오프라인,국립극단 백성희장민호극장,2022-11-02~2022-11-27,국립극단 1644-2003
연극,유료,서울특별시,발가락 육상천재 [서울],오프라인,국립극단 소극장 판,2022-11-03~2022-11-27,국립극단 1644-2003
연극,유료,서울특별시,하이타이,오프라인,후암씨어터,2022-11-03~2022-11-27,010-2206-0523
무용/발레,유료,서울특별시,제43회 서울무용제,오프라인,아르코예술극장 대극장,2022-11-11~2022-11-27,02-3668-0007
연극,유료,부산광역시,엔딩크레딧 [부산],오프라인,여기는 극장입니다,2022-11-12~2022-11-27,010-5060-2788
뮤지컬/오페라,유료,서울특별시,"웰컴 대학로, 더 라스트맨",오프라인,서경대학교 공연예술센터(혜화역),2022-11-15~2022-11-27,더웨이브 02-6954-0772
연극,유료,강원도,"연무열전, 연극",오프라인,축제극장몸짓,2022-11-17~2022-11-27,통통창의력발전소 070-4223-3972
뮤지컬/오페라,유료,대전광역시,페트로스 [대전],오프라인,이음아트홀,2022-11-17~2022-11-27,이음아트홀 042-252-0887
무용/발레,유료,서울특별시,[집밖] 작꾸 둥굴구 서뚜르게,오프라인,예술의전당 자유소극장,2022-11-18~2022-11-27,02-3472-1420
연극,유료,서울특별시,NOCHE DE PALOMA,오프라인,대학로 스튜디오 블루 (구 두레홀 3관),2022-11-18~2022-11-27,극단 아루또 02-6012-2511
연극,유료,서울특별시,서울빠뺑자매,오프라인,씨어터 조이(구 마당세실극장),2022-11-18~2022-11-27,창작집단 상상두목 0505-041-0707
뮤지컬/오페라,유료,경기도,팥죽할멈과 호랑이 [안산],오프라인,NC소극장 안산 고잔,2022-11-19~2022-11-27,NC백화점 안산고잔점 어린이소극장 031-414-2100
연극,유료,서울특별시,신진연극인페스티벌 7,오프라인,코델아트홀,2022-11-22~2022-11-27,플레이티켓 02-322-3658
연극,유료,서울특별시,미치던 날 [서울],오프라인,대학로 공간아울,2022-11-22~2022-11-27,학교에연극을심는사람들 010-2684-3766
뮤지컬/오페라,유료,부산광역시,엘리자벳 10주년 기념공연 [부산],오프라인,드림씨어터,2022-11-22~2022-11-27,공연마루 1588-0766 / 드림씨어터 1833-3755
연극,유료,서울특별시,"웰컴 대학로, 이솝우화",오프라인,서경대학교 공연예술센터(혜화역),2022-11-24~2022-11-27,공상집단 뚱딴지 010-3925-1358
뮤지컬/오페라,유료,경기도,크리스마스 칸타타 [고양],오프라인,고양아람누리 아람극장,2022-11-24~2022-11-27,사단법인 그라시아스합창단 1899-2199
연극,유료,서울특별시,붉은 가을,오프라인,대학로예술극장 소극장,2022-11-25~2022-11-27,02-3668-0007
연극,유료,서울특별시,뤂_홀,오프라인,서강대 메리홀,2022-11-25~2022-11-27,010-6835-6543
무용/발레,유료,서울특별시,스텝업,오프라인,예술의전당 자유소극장,2022-11-25~2022-11-27,02-3472-1420
연극,유료,서울특별시,깔깔나무,오프라인,종로아이들극장,2022-11-25~2022-11-27,"국립아시아문화전당재단 062-601-4664, 4670"
무용/발레,유료,서울특별시,"요안 부르주아, 푸가/트램펄린",오프라인,LG아트센터 서울,2022-11-25~2022-11-27,LG아트센터 서울 티켓박스 1661-0017
무용/발레,유료,서울특별시,"요안 부르주아 컴퍼니, 기울어진 사람들",오프라인,LG아트센터 서울,2022-11-25~2022-11-27,LG아트센터 서울 티켓박스 1661-0017
무용/발레,유료,서울특별시,더 토핑,오프라인,세종문화회관 S씨어터,2022-11-25~2022-11-27,세종문화티켓 02-399-1000
뮤지컬/오페라,유료,충청북도,서편제 [청주],오프라인,청주예술의전당,2022-11-25~2022-11-27,콘서트하우스 043-222-7200
연극,유료,서울특별시,"봄 작가, 겨울 무대, 붉은 가을",오프라인,대학로예술극장 소극장,2022-11-25~2022-11-27,아르코 대학로예술극장 02-3668-0007
무용/발레,유료,경기도,본(本),오프라인,경기아트센터,2022-11-26~2022-11-27,031-230-3311~3314
무용/발레,유료,경기도,"경기아트센터 레퍼토리시즌, 경기도무용단: 본 [수원]",오프라인,경기아트센터,2022-11-26~2022-11-27,"경기도무용단 031-230-3311~3314, 3319"
뮤지컬/오페라,유료,부산광역시,미니특공대: 애니멀트론 [부산],오프라인,KBS부산홀,2022-11-26~2022-11-27,KBS부산홀 051-620-7181
뮤지컬/오페라,유료,인천광역시,겨울왕국: 겨울이야기 [인천],오프라인,부평아트센터 달누리극장,2022-11-26~2022-11-27,나눔 053-423-1219
뮤지컬/오페라,유료,대구광역시,캐리TV 러브콘서트: KPOP [대구],오프라인,대구 엑스코(EXCO),2022-11-26~2022-11-27,동그라미그리기 1577-4868
뮤지컬/오페라,유료,대전광역시,로봇똥 [대전],오프라인,평송청소년문화센터,2022-11-26~2022-11-27,조이컬쳐 010-9611-2073
뮤지컬/오페라,유료,세종특별자치시,번개맨: 우주최강 번개삼총사 [세종],오프라인,세종문화예술회관,2022-11-26~2022-11-27,세종문화예술회관 044-850-8940
뮤지컬/오페라,유료,울산광역시,사운드 오브 뮤직 [울산],오프라인,울산북구문화예술회관,2022-11-26~2022-11-27,아이에이치컬쳐 070-4045-2302
뮤지컬/오페라,유료,경기도,캐치! 티니핑: 프린세스 다이어리 [고양(앵콜)],오프라인,고양어울림누리,2022-11-26~2022-11-27,동그라미그리기 1577-4868
뮤지컬/오페라,유료,충청남도,시크릿쥬쥬 시즌3: 별의 여신 마지막콘서트 [천안],오프라인,성환문화회관,2022-11-26~2022-11-27,동그라미그리기 1577-4868
뮤지컬/오페라,유료,대구광역시,호두까기인형 [대구],오프라인,신세계 문화홀 대구점,2022-11-26~2022-11-27,좋은사람들 070-4045-2302
뮤지컬/오페라,유료,경기도,킹키부츠 [이천],오프라인,이천아트홀,2022-11-26~2022-11-27,이천아트홀 031-636-2202
연극,유료,서울특별시,"제6회 구로꿈나무인형극제, 퍼니 프렌즈",오프라인,구로꿈나무극장,2022-11-26~2022-11-27,구로꿈나무극장 02-830-2561~2 / 2508
연극,유료,서울특별시,갈수록 가관이네! [관악],오프라인,관악아트홀,2022-11-26~2022-11-27,관악아트홀 02-828-5700
뮤지컬/오페라,유료,경상남도,신비아파트 시즌5: 감염된 도시의 비밀 [포항],오프라인,포항문화예술회관,2022-11-26~2022-11-27,동그라미그리기 1577-4868
무용/발레,유료,전라북도,여립 (汝立): 지워진 이름 정여립 [전주],오프라인,한국소리문화의전당,2022-11-26~2022-11-27,010-5171-3404
연극,유료,서울특별시,"제22회 월드 2인극 페스티벌, 남매",오프라인,대학로 예술공간 혜화,2022-11-26~2022-11-27,2인극페스티벌 조직위원회 070-7776-6613
뮤지컬/오페라,유료,경기도,엄마까투리: 마트에 간 꽁지 [수원],오프라인,롯데백화점 문화홀,2022-11-26~2022-11-27,인터파크 1544-1555
무용/발레,무료,서울특별시,"제43회 서울무용제, 폐막 및 시상식",오프라인,아르코예술극장 대극장,2022-11-27~2022-11-27,서울무용제 조직위원회 02-744-8066
음악/콘서트,유료,경기도,"MEG아트홀 기획연주 43, Fantasy of Romance: 플루트 박은지 피아노 나누리",오프라인,MEG아트홀,2022-11-27~2022-11-27,MEG아트홀 010-9458-5310
음악/콘서트,유료,서울특별시,이현진 피아노 독주회,오프라인,예술의전당 인춘아트홀,2022-11-27~2022-11-27,스톰프뮤직 02-2658-3546
음악/콘서트,유료,서울특별시,[파가니니 탄생 240주년] 리스트와 쇼팽이 추억하는 파가니니,오프라인,예술의전당 콘서트홀,2022-11-27~2022-11-27,스톰프뮤직 02-2658-3546
연극,유료,서울특별시,이인환각연쇄고리,오프라인,koldsleep,2022-09-02~2022-11-28,koldsleep@gmail.com
음악/콘서트,유료,서울특별시,크리스티안 틸레만 & 베를린 슈타츠카펠레 [롯데콘서트홀],오프라인,롯데콘서트홀,2022-11-28~2022-11-28,마스트미디어 02-541-2512
국악,유료,서울특별시,2022 팔일(八佾),오프라인,한국문화의 집 코우스,2022-11-08~2022-11-29,한국문화의집 KOUS 02-3011-1740
음악/콘서트,유료,서울특별시,트리오 베스페로 정기연주회,오프라인,금호아트홀 연세,2022-11-29~2022-11-29,지클레프 02-515-5123
뮤지컬/오페라,무료,울산광역시,"SAC ON SCREEN, 마술피리",오프라인,서울주문화센터,2022-11-29~2022-11-29,서울주문화센터 052-262-8907
음악/콘서트,유료,경기도,윤한과 함께하는 아침음악살롱,오프라인,안산문화예술의전당,2022-11-29~2022-11-29,안산문화예술의전당 콜센터 080-481-4000 / 인터파크 1544-1555 / 단체관람 031-481-4028
음악/콘서트,유료,대전광역시,"DJAC 청년오케스트라 기획공연 2, 드라마틱",오프라인,대전예술의전당,2022-11-29~2022-11-29,대전예술의전당 042-270-8333
음악/콘서트,유료,경기도,조이 오브 스트링스 Winter Story [경기 광주],오프라인,남한산성아트홀,2022-11-29~2022-11-29,광주시문화재단 031-762-8638
음악/콘서트,무료,강원도,"GAC 화요극장, 스피릿 오브 베토벤",오프라인,강릉아트센터 소공연장,2022-11-29~2022-11-29,강릉아트센터 033-660-6800
음악/콘서트,유료,서울특별시,곽지승 플루트 독주회,오프라인,예술의전당 리사이틀홀,2022-11-29~2022-11-29,예인예술기획 02-586-0945
음악/콘서트,유료,서울특별시,김응수 & 크리스토퍼 박 듀오 리사이틀,오프라인,예술의전당 IBK챔버홀,2022-11-29~2022-11-29,피트뮤직 02-396-9697
음악/콘서트,유료,서울특별시,유한나 바이올린 독주회,오프라인,세종문화회관 체임버홀,2022-11-29~2022-11-29,예인예술기획 02-586-0945
음악/콘서트,유료,경기도,조이 오브 스트링스 <겨울 이야기>,오프라인,남한산성아트홀,2022-11-29~2022-11-29,광주시문화재단 031-762-8638
국악,유료,서울특별시,2022 다담,오프라인,국립국악원 우면당,2022-02-23~2022-11-30,02-580-3300
국악,유료,서울특별시,다담,오프라인,국립국악원 우면당,2022-02-23~2022-11-30,02-580-3300
뮤지컬/오페라,유료,서울특별시,요한복음,오프라인,광야아트센터,2022-03-12~2022-11-30,-
국악,유료,대전광역시,K-브런치콘서트: 우.아.한 [대전],오프라인,대전시립연정국악원,2022-03-30~2022-11-30,042-270-8500
뮤지컬/오페라,유료,서울특별시,뮤지컬 <써니텐>,오프라인,하마씨어터,2022-07-08~2022-11-30,02-766-0830
국악,유료,서울특별시,"삼청각 수요상설공연, 남상일의 토크 국악",오프라인,삼청각 일화당,2022-09-07~2022-11-30,02-765-3000
뮤지컬/오페라,유료,부산광역시,소믈리에,오프라인,부산 레몬트리소극장,2022-09-17~2022-11-30,010-8352-2537
연극,유료,서울특별시,7시에 만나 Renewal,오프라인,창조소극장 (구. 민아트홀),2022-10-04~2022-11-30,인스타그램 @see_u_at_7 / 인터파크 1544-1555
뮤지컬/오페라,유료,부산광역시,소믈리에 [부산],오프라인,부산 레몬트리소극장,2022-10-14~2022-11-30,010-8352-2537
음악/콘서트,무료,서울특별시,국립한글박물관 11월 문화행사 공연,오프라인,국립한글박물관,2022-11-01~2022-11-30,02-2124-6292
국악,무료,광주광역시,광주국악상설공연 (11월),오프라인,광주공연마루,2022-11-02~2022-11-30,"광주문화예술회관 062-613-8379, 8372"
연극,유료,광주광역시,"작은 무대에 부는 바람 #5, 아빠들의 소꿉놀이",오프라인,씨어터 연바람,2022-11-28~2022-11-30,씨어터 연바람 062-226-2446
음악/콘서트,유료,충청남도,"해설이 있는 11시콘서트, 재즈앙상블 크레센트 트리오",오프라인,천안예술의전당,2022-11-30~2022-11-30,천안예술의전당 1566-0155
연극,무료,경상남도,"이야기가 있는 키즈클래식, 빨간모자와 늑대 [안동]",오프라인,안동문화예술의전당,2022-11-30~2022-11-30,안동문화예술의전당 054-840-3600
음악/콘서트,유료,경기도,윤한과 함께하는 아침음악살롱 (11월) [안산],오프라인,안산문화예술의전당,2022-11-30~2022-11-30,안산문화예술의전당 080-481-4000
음악/콘서트,유료,서울특별시,크리스티안 틸레만 & 베를린 슈타츠카펠레,오프라인,예술의전당 콘서트홀,2022-11-30~2022-11-30,마스트미디어 02-541-2512
연극,유료,경기도,"네버랜드 in 군포 Ⅵ, 아버지와 살면",오프라인,군포문화예술회관,2022-11-30~2022-11-30,군포문화예술회관 031-390-3500~1
음악/콘서트,유료,서울특별시,예술의전당 아티스트 라운지 (11월),오프라인,예술의전당 IBK챔버홀,2022-11-30~2022-11-30,예술의전당 02-580-1300
기타,유료,강원도,Recovery 춘천: 놀我YOU,오프라인,춘천문화예술회관,2022-11-30~2022-11-30,춘천문화재단 033-259-5837
음악/콘서트,유료,경기도,"클래식으로 읽는 동화 2, 꿀벌마야의 모험 [의정부]",오프라인,의정부아트캠프,2022-11-30~2022-11-30,의정부 아트캠프 031-850-5134
음악/콘서트,유료,서울특별시,박민 바이올린 독주회,오프라인,예술의전당 인춘아트홀,2022-11-30~2022-11-30,지클레프 02-515-5123
음악/콘서트,유료,울산광역시,"하우스콘서트, 에메트앙상블 (11월)",오프라인,울주문화예술회관,2022-11-30~2022-11-30,울주문화예술회관 052-980-2270
뮤지컬/오페라,유료,경상남도,"국립오페라단 my opera, 마농",오프라인,경상남도 문화예술회관,2022-11-30~2022-11-30,경상남도문화예술회관 1544-6711
음악/콘서트,유료,경기도,첼로댁 조윤경 리사이틀 [안성],오프라인,안성맞춤아트홀,2022-11-30~2022-11-30,안성맞춤아트홀 031-660-0666
뮤지컬/오페라,유료,광주광역시,"ACC 브런치콘서트, 전수경X더뮤즈",오프라인,국립아시아문화전당,2022-11-30~2022-11-30,국립아시아문화전당 1899-5566
뮤지컬/오페라,무료,경기도,<2022 경기도 문화의 날 [안양아트인 데이] 오페라 라 보엠> - 안양,오프라인,안양아트센터,2022-11-30~2022-11-30,031-687-0500/0555
국악,유료,서울특별시,국립국악관현악단 <정오의 음악회 12월>,오프라인,국립극장 해오름극장,2022-12-01~2022-12-01,02-2280-4114
연극,유료,서울특별시,"[돈의문박물관마을] 장소특정, 관객참여형 연극 '백 년의 밤'",오프라인,돈의문박물관마을,2022-09-30~2022-12-02,"돈의문박물관마을 전화 070-4411-5700 , 이메일 dm_village@naver.com"
국악,유료,경기도,Concert Meditation <반향 2022 : 묵(默)>,오프라인,경기아트센터,2022-12-02~2022-12-02,031-289-6471~6474
연극,유료,서울특별시,토요마임극장,오프라인,스튜디오QDA,2022-03-05~2022-12-03,01098198992
뮤지컬/오페라,유료,서울특별시,정글 라이프 [서울],오프라인,반포심산아트홀,2022-11-23~2022-12-03,서초문화재단 공연사업팀 02-3477-2805
국악,유료,서울특별시,국립무용단 <홀춤Ⅲ : 홀춤과 겹춤>,오프라인,국립극장 달오름극장,2022-12-02~2022-12-03,02-2280-4114
연극,유료,경기도,연극 <전태일 네 이름은 무엇이냐>,오프라인,안산문화예술의전당,2022-12-03~2022-12-03,080-481-4000
뮤지컬/오페라,유료,서울특별시,에곤 실레,오프라인,예스24스테이지,2022-09-14~2022-12-04,HJ컬쳐 02-588-7708
뮤지컬/오페라,유료,서울특별시,모딜리아니,오프라인,예스24스테이지,2022-09-14~2022-12-04,02-588-7708
뮤지컬/오페라,유료,서울특별시,인간의 법정,오프라인,아트원씨어터,2022-09-28~2022-12-04,070-7724-1535
연극,유료,경기도,앤 [고양],오프라인,고양아람누리 새라새극장,2022-10-24~2022-12-04,하랑씨어터 기획팀 070-8637-9032
연극,유료,대전광역시,차사 강림 [대전],오프라인,아신극장,2022-11-04~2022-12-04,아신극장 1599-9210
뮤지컬/오페라,유료,서울특별시,앨리스 in 원더랜드 (앨리스 인 원더랜드) [서울],오프라인,상상나라극장,2022-11-19~2022-12-04,상상나라극장 02-456-0116
연극,유료,서울특별시,화원,오프라인,나온씨어터,2022-11-25~2022-12-04,창작집단LAS 070-8154-9944
뮤지컬/오페라,유료,인천광역시,해와 달의 이야기 [인천],오프라인,아띠홀,2022-11-25~2022-12-04,아띠홀 032-623-4222
연극,유료,인천광역시,인천시립극단 제87회 정기공연 <백년의 비밀>,오프라인,인천문화예술회관,2022-11-26~2022-12-04,인천시립극단 032-420-2790
뮤지컬/오페라,유료,서울특별시,오페라<라보엠>,오프라인,예술의전당 오페라극장,2022-12-01~2022-12-04,02-580-1300
무용/발레,유료,서울특별시,침묵,오프라인,대학로예술극장 소극장,2022-12-03~2022-12-04,02-3668-0007
음악/콘서트,"유료,할인",서울특별시,Peace Concert '끝나지 않은 이야기',오프라인,노원문화예술회관,2022-12-05~2022-12-05,카카오톡 채널 [ 아트밤 ]
음악/콘서트,유료,서울특별시,에릭 루 피아노 리사이틀,오프라인,예술의전당 IBK챔버홀,2022-12-06~2022-12-06,02-541-2512
뮤지컬/오페라,유료,경기도,오페라 <라보엠>,오프라인,성남아트센터,2022-12-09~2022-12-09,031-783-8000
뮤지컬/오페라,유료,경기도,피노키오 [김포],오프라인,김포한강괜찮은홀,2022-11-26~2022-12-10,김포한강괜찮은홀 070-8886-2516
음악/콘서트,유료,경기도,파리나무십자가 소년합창단,오프라인,부천시민회관 대공연장,2022-12-10~2022-12-10,032-320-6336
음악/콘서트,유료,경기도,피아니스트 박종해와 친구들,오프라인,성남아트센터 콘서트홀,2022-12-10~2022-12-10,031-783-8000
음악/콘서트,유료,서울특별시,케이트 리우 피아노 리사이틀,오프라인,예술의전당 IBK챔버홀,2022-12-10~2022-12-10,스톰프뮤직 02-2658-3546
연극,유료,서울특별시,아트 (ART),오프라인,예스24스테이지,2022-09-17~2022-12-11,나인스토리 02-3672-0900
뮤지컬/오페라,유료,서울특별시,테레즈 라캥,오프라인,드림아트센터,2022-09-20~2022-12-11,070-8095-9734
연극,유료,서울특별시,[집밖] 메이드 인 제인,오프라인,CJ 아지트 대학로(구 SM아트홀),2022-11-12~2022-12-11,창작집단 농담 010-4151-3424
연극,유료,서울특별시,진구는 게임 중,오프라인,학전블루소극장,2022-11-12~2022-12-11,학전 02-763-8233
뮤지컬/오페라,유료,서울특별시,"알로하, 나의 엄마들",오프라인,세종문화회관 M씨어터,2022-11-22~2022-12-11,서울시뮤지컬단 02-399-1771~3
연극,유료,서울특별시,로켓 캔디,오프라인,아르코예술극장 소극장,2022-12-03~2022-12-11,02-3668-0007
연극,유료,서울특별시,스푸트니크,오프라인,아르코예술극장 소극장,2022-12-03~2022-12-11,02-3668-0007
무용/발레,유료,서울특별시,겨울 나그네,오프라인,예술의전당 자유소극장,2022-12-09~2022-12-11,02-3472-1420
음악/콘서트,유료,서울특별시,오마주 투 쇼팽,오프라인,예술의전당 콘서트홀,2022-12-11~2022-12-11,스톰프뮤직 02-2658-3546
음악/콘서트,유료,서울특별시,국립합창단 제192회 정기연주회 <2022 송년축하 음악회>,오프라인,롯데콘서트홀,2022-12-12~2022-12-12,02-587-8111
음악/콘서트,"유료,할인",서울특별시,국립합창단 제192회 정기연주회 <2022 송년축하 음악회>,오프라인,롯데 콘서트홀,2022-12-12~2022-12-12,국립합창단 02) 587-8111
음악/콘서트,유료,서울특별시,"2022 카즈미 타테이시 트리오 내한 공연-크리스마스, 재즈를 만나다-",오프라인,세종문화회관 M씨어터,2022-12-13~2022-12-13,070-8680-8477
국악,유료,서울특별시,민속악단 기획공연 <서도소리와 놀다-왔구나 왔어! 3인의 배뱅이>,오프라인,국립국악원 풍류사랑방,2022-12-13~2022-12-14,02-580-3300
음악/콘서트,유료,경기도,크리스마스 지브리 탱고,오프라인,성남아트센터 콘서트홀,2022-12-14~2022-12-14,031-783-8000
기타,유료,경기도,안산시립예술단 특별기획공연: 안산의 사계,오프라인,소극장 보노마루,2022-04-28~2022-12-15,문화예술과 031-481-2064
음악/콘서트,유료,서울특별시,포아 피아노연구회 베토벤 피아노 소나타 전곡 연주,오프라인,푸르지오 아트홀,2022-11-10~2022-12-15,카카오톡채널 포아피아노연구회 / 인터파크 1544-1555
음악/콘서트,유료,경기도,토크 콘서트 : 12월의 랑데북,오프라인,경기아트센터,2022-12-15~2022-12-15,20:00~21:40
음악/콘서트,유료,경기도,한국지역난방공사와 함께하는 2022 마티네 콘서트 - 12월,오프라인,성남아트센터 콘서트홀,2022-12-15~2022-12-15,1544-8117
전시,무료,서울특별시,진민욱 초대전 <어제 걸은 길 The road that I walked yesterday>,오프라인,한원미술관,2022-10-06~2022-12-16,02-588-5642
음악/콘서트,유료,서울특별시,2022 파리나무십자가 소년합창단 특별초청공연,온(오프)라인,예술의전당 콘서트홀,2022-12-16~2022-12-16,031-738-1492
음악/콘서트,유료,경기도,사라 장 & 비르투오지,오프라인,남한산성아트홀,2022-12-16~2022-12-16,광주시문화재단 031-762-8638
음악/콘서트,유료,서울특별시,이우일 바이올린 독주회,오프라인,예술의전당 인춘아트홀,2022-12-16~2022-12-16,스톰프뮤직 02-2658-3546
연극,유료,서울특별시,세컨드 찬스,오프라인,두산아트센터 space111,2022-11-29~2022-12-17,010-2069-7202
아동/가족,유료,경기도,환상의 버블벌룬쇼,오프라인,복사골문화센터 판타지아극장,2022-12-16~2022-12-17,032-320-6334
음악/콘서트,유료,경기도,2022파리나무십자가 소년합창단 특별초청공연-성남,온(오프)라인,성남아트센터 콘서트홀,2022-12-17~2022-12-17,031-738-1492
연극,유료,서울특별시,물고양이,오프라인,씨어터 앤 펍 맥거핀,2022-10-13~2022-12-18,010-8324-8454
연극,"유료,할인",서울특별시,연극 <밝은 밤>,오프라인,옵/신 스페이스(구 서촌공간 서로),2022-12-09~2022-12-18,070-8156-6330
아동/가족,유료,제주특별자치도,성탄가족뮤지컬 크리스마스 캐롤,오프라인,제주관광대학교 컨벤션홀,2022-12-17~2022-12-18,010-4192-3492
전시,무료,부산광역시,전쟁과 평화 : 임진왜란에서 조선통신사의 길로,온(오프)라인,국립해양박물관,2022-10-05~2022-12-20,051-309-1784
국악,유료,서울특별시,별곡,오프라인,민속극장풍류,2022-12-06~2022-12-20,(02) 566-6300
음악/콘서트,유료,서울특별시,오르간 오딧세이 (2~12월),오프라인,롯데콘서트홀,2022-02-16~2022-12-21,1544-7744
국악,유료,서울특별시,"삼청각 수요상설공연, 박애리의 특별한 국악콘서트",오프라인,삼청각 일화당,2022-10-05~2022-12-21,삼청각 02-765-3000
국악,유료,서울특별시,대표공연 <임인진연>,오프라인,국립국악원 예악당,2022-12-16~2022-12-21,02-580-3300
국악,유료,서울특별시,세 가지 선물-창극 콘서트 <연작(連作)>,오프라인,국립극장 해오름극장,2022-12-20~2022-12-21,02-2280-4114
연극,유료,서울특별시,2시간탈출졸탄쇼,오프라인,졸탄극장,2022-07-01~2022-12-22,1661-3124
전시,무료,서울특별시,신촌문화발전소 기획전시 <클라인 클럽 Klein Club>,오프라인,신촌문화발전소,2022-10-25~2022-12-23,02-330-4393
국악,유료,서울특별시,더스토리인간문화재,오프라인,민속극장풍류,2022-12-21~2022-12-23,(02) 566-6300
국악,유료,서울특별시,더스토리인간문화재,오프라인,민속극장풍류,2022-12-21~2022-12-23,(02) 566-6300
기타,유료,서울특별시,2022 1-2월 토요국악동화,오프라인,국립국악원 (풍류사랑방),2022-02-05~2022-12-24,02-580-3300
국악,유료,부산광역시,토요신명 (7~12월),오프라인,국립부산국악원,2022-07-02~2022-12-24,051-811-0114
국악,유료,서울특별시,2022 토요명품,오프라인,국립국악원 우면당,2022-11-05~2022-12-24,02-580-3300
국악,유료,서울특별시,토요국악동화,오프라인,국립국악원 풍류사랑방,2022-11-05~2022-12-24,02-580-3300
무용/발레,유료,서울특별시,"안녕, 나의 그르메",오프라인,대학로예술극장 대극장,2022-12-23~2022-12-24,02-3668-0007
뮤지컬/오페라,유료,경기도,뮤지컬 <스페셜5>,오프라인,안산문화예술의전당,2022-12-23~2022-12-24,080-481-4000
음악/콘서트,유료,경기도,2022 리처드 용재 오닐 송년 콘서트 <선물>,오프라인,성남아트센터 콘서트홀,2022-12-24~2022-12-24,031-783-8000
뮤지컬/오페라,유료,경상남도,인피니티 플라잉 [경주],오프라인,경주세계문화엑스포 문화센터 공연장,2022-04-08~2022-12-25,054-775-0815
국악,유료,서울특별시,영재국악회,오프라인,남산골한옥마을,2022-05-15~2022-12-25,클립서비스 1577-3363
전시,무료,광주광역시,2022 ACC 미디어파사드 <반디산책: 지구와 화해하는 발걸음>,오프라인,국립아시아문화전당,2022-09-01~2022-12-25,1899-5566
뮤지컬/오페라,유료,전라북도,프리즌 [전주],오프라인,한해랑아트홀,2022-10-07~2022-12-25,극단 한해랑 1644-4356 / 010-2995-1002
연극,유료,경기도,메리크리스마스 산타할아버지 [수원],오프라인,KBS수원아트홀,2022-11-12~2022-12-25,KBS수원아트홀 031-216-5201
연극,유료,서울특별시,스카팽 [서울 용산],오프라인,국립극단 명동예술극장,2022-11-23~2022-12-25,국립극단 1644-2003
무용/발레,유료,서울특별시,예술의전당 & 국립발레단 <호두까기인형>,오프라인,예술의전당 오페라극장,2022-12-17~2022-12-25,미정
연극,유료,제주특별자치도,보잉보잉,오프라인,제주관광대학교 컨벤션홀,2022-12-23~2022-12-25,010-2488-8913
무용/발레,유료,서울특별시,세 가지 선물-전통춤 모음 <수작(秀作)>,오프라인,국립극장 해오름극장,2022-12-24~2022-12-25,02-2280-4114
음악/콘서트,유료,경기도,콘서트 <유키구라모토와 친구들>,오프라인,안산문화예술의전당,2022-12-25~2022-12-25,080-481-4000
음악/콘서트,유료,경기도,<브로콜리너마저 크리스마스 콘서트> - 안양,오프라인,평촌아트홀,2022-12-25~2022-12-25,031-687-0500/0555
뮤지컬/오페라,유료,서울특별시,푸에르자 부르타 웨이라 인 서울,오프라인,잠실종합운동장 보조경기장,2022-09-29~2022-12-26,쇼비얀엔터테인먼트 02-540-2010
연극,유료,서울특별시,학교스타그램,오프라인,졸탄극장,2022-11-14~2022-12-26,졸탄극장 010-4521-6193
음악/콘서트,유료,서울특별시,라움 마티네 콘서트,오프라인,소셜베뉴 라움,2022-02-22~2022-12-27,02-538-3366
음악/콘서트,"유료,할인",서울특별시,2022 라움 마티네 콘서트,오프라인,소셜베뉴 라움,2022-03-29~2022-12-27,02-6925-4794
